x1,x2,y1,y2,y-axis,x axis,class y
2.029077638,9.258753427,9.402689705,7.693633568,1,1,2
9.041310512,0.527322948,9.099143825,8.660683812,1,1,2
9.039839549,0.941346658,9.074862834,8.139549334,1,1,2
2.355672005,9.637777176,9.001152306,8.226217766,1,1,2
7.18815711,8.491201302,8.983945532,6.982210775,1,1,2
3.075320392,1.735432829,8.970171421,7.277454744,1,1,2
1.613928959,9.479693836,8.970085837,7.860213275,1,1,2
9.866223213,2.839658038,8.95139482,6.891429953,1,1,2
0.809039232,2.620348871,8.918409452,9.152111826,1,1,2
3.700227271,4.468762259,8.910718811,8.858202828,1,1,2
8.986259549,1.363652661,8.90966723,7.433369329,1,1,2
1.01284247,7.434217974,8.905661393,7.627622234,1,1,2
2.001898882,9.166328632,8.862414807,7.108214931,1,1,2
0.427838092,2.845242442,8.862234315,7.812515863,1,1,2
3.523662354,2.285283363,8.813397169,7.725523874,1,1,2
4.906269432,0.165431903,8.784717097,7.786627822,1,1,2
8.088845606,0.534282609,8.779171726,8.376320776,1,1,2
9.381122487,0.545746649,8.769756334,7.344888973,1,1,2
4.758760627,6.814023081,8.764543256,8.665587199,1,1,2
8.147971588,0.660113582,8.762070234,7.189004303,1,1,2
7.839914154,0.324237539,8.748657189,6.58045239,1,1,2
9.478218871,8.048808791,8.732838856,7.967000358,1,1,2
7.99730129,0.042386352,8.718675727,6.434234208,1,1,2
1.624929347,1.789150913,8.717757964,7.134571245,1,1,2
2.891085199,3.370201033,8.712894643,7.077765946,1,1,2
3.685989199,0.84000413,8.701169488,7.836999741,1,1,2
5.334279395,0.248877792,8.693991352,8.153600053,1,1,2
5.874885247,0.25534931,8.684013353,8.031046776,1,1,2
3.612668296,3.098393519,8.679289499,7.554778654,1,1,2
9.328061825,7.531838814,8.671539323,8.252579728,1,1,2
2.203839392,9.767824238,8.669495317,6.431611212,1,1,2
0.590232453,2.421998672,8.668881239,7.790389797,1,1,2
2.453408817,8.858708978,8.655210325,7.496200973,1,1,2
7.665910506,8.203548723,8.649132371,6.608354164,1,1,2
8.822836719,1.233638887,8.632807482,7.370551087,1,1,2
7.148299959,0.322725481,8.616148358,8.252582199,1,1,2
3.167306666,3.338485671,8.605205113,7.336068254,1,1,2
9.536756964,1.575062888,8.601930709,8.31625998,1,1,2
1.755308378,9.309298007,8.599931917,7.426706026,1,1,2
2.03395842,9.934743752,8.595224078,7.663220616,1,1,2
9.730462423,0.348227517,8.590464978,8.02583263,1,1,2
3.671843999,1.093382433,8.588363891,6.698228334,1,1,2
4.697313237,0.3549341,8.583424061,7.413323671,1,1,2
0.127386016,3.061952927,8.575159643,7.630077072,1,1,2
2.088767561,9.127443126,8.575055889,6.896020959,1,1,2
0.89494545,7.348339669,8.570122288,7.159719291,1,1,2
4.486688702,5.654726446,8.553421955,7.469193903,1,1,2
4.859719475,1.203967427,8.54077635,7.614922214,1,1,2
9.297742639,8.175914622,8.520726376,7.574093076,1,1,2
9.565441047,1.626306097,8.511591833,8.643690968,1,1,2
2.982457987,1.246576808,8.507531262,8.245813237,1,1,2
8.207671207,0.59809195,8.491265079,7.242673606,1,1,2
0.508597491,2.887803756,8.483264735,6.383650141,1,1,2
7.38402441,0.373415553,8.475063871,7.466270297,1,1,2
9.738186968,7.95147419,8.466578053,7.076337675,1,1,2
3.626774934,2.18518694,8.466531676,7.790284324,1,1,2
5.323360709,0.384027211,8.460862601,8.459682105,1,1,2
0.422216522,2.790446335,8.459325178,8.198233918,1,1,2
5.52439059,0.231813099,8.450476509,8.414653397,1,1,2
9.115463022,7.545246011,8.446424337,9.031975734,1,1,2
6.370853691,1.378605845,8.445747592,8.129455319,1,1,2
9.83472938,1.529939512,8.436027949,8.693229089,1,1,2
2.761097147,3.56478497,8.435957362,7.997522484,1,1,2
2.307739413,2.035513531,8.431754422,7.933294348,1,1,2
7.63730002,0.081297273,8.428425041,7.168393634,1,1,2
6.874972147,7.956551046,8.42147711,8.165918189,1,1,2
3.577597425,3.077958493,8.412972419,7.416423832,1,1,2
2.31254953,9.135837606,8.409197942,7.986267997,1,1,2
9.679655666,1.879398704,8.403840815,8.597094409,1,1,2
1.02277353,5.612276493,8.402552425,7.194134363,1,1,2
9.018411698,7.592496702,8.396961538,8.024295143,1,1,2
0.598463156,3.281530415,8.394044505,7.692146044,1,1,2
1.03990838,6.722167706,8.383249137,7.264998925,1,1,2
4.446253601,6.457123302,8.375070698,7.710389835,1,1,2
9.217190669,7.168044759,8.365872826,7.745040332,1,1,2
4.188206983,0.553727806,8.363054319,7.559552684,1,1,2
8.614058956,0.237817473,8.358835873,7.469912262,1,1,2
0.245481165,2.571397867,8.355661878,8.397254226,1,1,2
2.298495278,3.496656833,8.355591895,8.428077652,1,1,2
3.4969693,5.346100959,8.350144031,8.145013703,1,1,2
9.325612039,0.260177731,8.349366476,6.810007652,1,1,2
1.762816401,2.108064976,8.337970152,8.371164064,1,1,2
3.143216441,2.279945061,8.336530619,7.194187623,1,1,2
3.979186148,6.825642422,8.336027454,7.872178347,1,1,2
6.917502243,0.180691678,8.335818082,7.05591056,1,1,2
8.765825737,0.77980952,8.335333796,7.546378148,1,1,2
0.726000665,6.991662939,8.329854991,7.751589474,1,1,2
8.810666127,7.949816671,8.326537628,7.463914679,1,1,2
5.086682574,6.841021501,8.325454206,6.67457796,1,1,2
1.298702796,6.830448701,8.324899849,7.684963148,1,1,2
6.921146879,7.962112052,8.323165502,7.843333937,1,1,2
0.191228974,3.873411869,8.322182965,8.836193644,1,1,2
6.816779778,5.130835411,8.319661756,7.649535065,1,1,2
8.27369777,8.433293386,8.319639635,7.777927344,1,1,2
4.096332437,6.704185014,8.319348347,8.352926392,1,1,2
1.157032333,7.119403565,8.317541508,8.119768674,1,1,2
4.316172503,5.500180775,8.316634489,8.261922802,1,1,2
9.418441013,7.340488918,8.313983627,8.263624702,1,1,2
5.937238483,0.084131854,8.311938939,7.441121156,1,1,2
2.941808799,2.020492307,8.311781162,8.480065943,1,1,2
8.971458718,2.034113455,8.307832008,8.36300212,1,1,2
2.181557483,3.342821182,8.306859465,8.128968445,1,1,2
2.041481905,9.884277639,8.305208926,6.768791908,1,1,2
